SentID_GM,targ,Sentence_with_Target,Sentence_with_Blank,SimilarTo_SentID_GM,sentence_length,targ_sent_position
2405,lepid,The kids said that the first day of school was [lepid].,The kids said that the first day of school was XXXXX.,NA,NA,NA
2406,lepid,Benny said that this has been a [lepid] experience for her.,Benny said that this has been a(n) XXXXX experience for her.,NA,NA,NA
2407,lepid,The party turned out to be a very [lepid] occasion.,The party turned out to be a very XXXXX occasion.,NA,NA,NA
2408,lepid,Ron did not expect the gathering to be a [lepid] event.,Ron did not expect the gathering to be a(n) XXXXX event.,NA,NA,NA
2409,lepid,I sent my children outside to play because it was so [lepid].,I sent my children outside to play because it was so XXXXX.,NA,NA,NA
2410,lepid,It is important to me to have ones that are [lepid] for my family.,It is important to me to have ones that are XXXXX for my family.,NA,NA,NA
2411,lissome,A gymnast needs to stretch often to become more [lissome].,A gymnast needs to stretch often to become more XXXXX.,247,NA,NA
2412,lissome,Our coach makes us warm up to make us more [lissome].,Our coach makes us warm up to make us more XXXXX.,241,NA,NA
2413,lissome,The athlete proved he was [lissome] by doing splits.,The athlete proved he was XXXXX by doing splits.,248,NA,NA
2414,lissome,Only dancers who are very [lissome] can do that movement.,Only dancers who are very XXXXX can do that movement.,NA,NA,NA
2415,lissome,She is very [lissome] and can lift her foot up to her nose.,She is very XXXXX and can lift her foot up to her nose.,NA,NA,NA
2416,lissome,He is not [lissome] at all; he has trouble touching his toes.,He is not XXXXX at all; he has trouble touching his toes.,NA,NA,NA
2417,lissome,Karen expected some of her friends to be more [lissome] than they were.,Karen expected some of her friends to be more XXXXX than they were.,235,NA,NA
2418,lissome,Tina has become much more [lissome] over the summer.,Tina has become much more XXXXX over the summer.,236,NA,NA
2419,lissome,The most [lissome] individuals are not always the ones that get chosen.,The most XXXXX individuals are not always the ones that get chosen.,NA,NA,NA
2420,lissome,Amy was much more [lissome] last year than she is this year.,Amy was much more XXXXX last year than she is this year.,238,NA,NA
2421,lissome,Jared's mother insists that he is more [lissome] than most of his friends.,Jared's mother insists that he is more XXXXX than most of his friends.,NA,NA,NA
2422,lissome,The judges had a hard time deciding who was the most [lissome].,The judges had a hard time deciding who was the most XXXXX.,NA,NA,NA
2423,lysis,We knew the old ladder would collapse because the wood showed signs of [lysis].,We knew the old ladder would collapse because the wood showed signs of XXXXX.,NA,NA,NA
2424,lysis,Some materials go through [lysis] more quickly than others.,Some materials go through XXXXX more quickly than others.,NA,NA,NA
2425,lysis,We put the photos in special plastic to prevent [lysis] over time.,We put the photos in special plastic to prevent XXXXX over time.,NA,NA,NA
2426,lysis,Getting older is the body's slow process of [lysis].,Getting older is the body's slow process of XXXXX.,NA,NA,NA
2427,lysis,All living things undergo [lysis] over time and eventually die.,All living things undergo XXXXX over time and eventually die.,NA,NA,NA
2428,lysis,We wrapped our food in plastic wrap to prevent its [lysis].,We wrapped our food in plastic wrap to prevent its XXXXX.,NA,NA,NA
2429,lysis,"When we visited this week, we inspected the place for signs of [lysis].","When we visited this week, we inspected the place for signs of XXXXX.",NA,NA,NA
2430,lysis,Nobody understands the role of [lysis] in this process yet.,Nobody understands the role of XXXXX in this process yet.,NA,NA,NA
2431,lysis,You do not need to look that carefully to see clear signs of [lysis].,You do not need to look that carefully to see clear signs of XXXXX.,NA,NA,NA
2432,lysis,It turns out that [lysis] can be sped up under the right conditions.,It turns out that XXXXX can be sped up under the right conditions.,NA,NA,NA
2433,lysis,Do not be surprised if you notice some [lysis] the next time you come.,Do not be surprised if you notice some XXXXX the next time you come.,NA,NA,NA
2434,lysis,We saw clear signs of [lysis] when we visited last summer.,We saw clear signs of XXXXX when we visited last summer.,NA,NA,NA
2435,macilent,Not eating for weeks made his body look weak and [macilent].,Not eating for weeks made his body look weak and XXXXX.,NA,NA,NA
2436,macilent,Sean ate lots of fatty foods to put some weight on his [macilent] body.,Sean ate lots of fatty foods to put some weight on his XXXXX body.,141,NA,NA
2437,macilent,The doctor told Lou to eat more because her body had become too [macilent].,The doctor told Lou to eat more because her body had become too XXXXX.,NA,NA,NA
2438,macilent,The [macilent] dog was fed extra nutritious food to make it healthy.,The XXXXX dog was fed extra nutritious food to make it healthy.,4547,NA,NA
2439,macilent,She had been sick and was [macilent] from not eating for two weeks.,She had been sick and was XXXXX from not eating for two weeks.,NA,NA,NA
2440,macilent,The doctor warned the woman she was too [macilent] from a poor diet.,The doctor warned the woman she was too XXXXX from a poor diet.,135,NA,NA
2441,macilent,We are trying to figure out why the boys are so [macilent].,We are trying to figure out why the boys are so XXXXX.,127,NA,NA
2442,macilent,Maria thought that her daughter seemed [macilent] last week.,Maria thought that her daughter seemed XXXXX last week.,128,NA,NA
2443,macilent,It should be easy to determine which one is more [macilent].,It should be easy to determine which one is more XXXXX.,129,NA,NA
2444,macilent,I did not know that Manny had become so [macilent] while I was gone.,I did not know that Manny had become so XXXXX while I was gone.,130,NA,NA
2445,macilent,The [macilent] boy went to the store to purchase some supplies for the trip.,The XXXXX boy went to the store to purchase some supplies for the trip.,NA,NA,NA
2446,macilent,I do not think I know the [macilent] girl who just arrived at the party.,I do not think I know the XXXXX girl who just arrived at the party.,4482,NA,NA
2447,minatory,The man was scared to fight after his enemy gave him a [minatory] look.,The man was scared to fight after his enemy gave him a(n) XXXXX look.,32,NA,NA
2448,minatory,Our boss would first give us [minatory] looks as a warning before yelling at us.,Our boss would first give us XXXXX looks as a warning before yelling at us.,NA,NA,NA
2449,minatory,"Instead of fighting, the tough guy made a bunch of [minatory] comments.","Instead of fighting, the tough guy made a bunch of XXXXX comments.",26,NA,NA
2450,minatory,Dave was frightened by the sounds coming from the [minatory] old house.,Dave was frightened by the sounds coming from the XXXXX old house.,NA,NA,NA
2451,minatory,The [minatory] bull looked ready to trample anything that moved.,The XXXXX bull looked ready to trample anything that moved.,NA,NA,NA
2452,minatory,Jenny was scared by the [minatory] guy in the play.,Jenny was scared by the XXXXX guy in the play.,NA,NA,NA
2453,minatory,Paul knew the [minatory] group of boys from when he was a teacher.,Paul knew the XXXXX group of boys from when he was a teacher.,19,NA,NA
2454,minatory,My brother left me a [minatory] message on my phone last week.,My brother left me a(n) XXXXX message on my phone last week.,20,NA,NA
2455,minatory,The camera caught the [minatory] man committing the crime.,The camera caught the XXXXX man committing the crime.,NA,NA,NA
2456,minatory,People told stories about the [minatory] brothers for years after they left town.,People told stories about the XXXXX brothers for years after they left town.,NA,NA,NA
2457,minatory,People often dress up in [minatory] clothes for some holidays.,People often dress up in XXXXX clothes for some holidays.,NA,NA,NA
2458,minatory,"The woman decided that he looked [minatory], so she left him alone.","The woman decided that he looked XXXXX, so she left him alone.",NA,NA,NA
2459,mundify,It is important to [mundify] cuts quickly so they do not get infected.,It is important to XXXXX cuts quickly so they do not get infected.,NA,NA,NA
2460,mundify,The nurse used alcohol to [mundify] my cut and promote healing.,The nurse used alcohol to XXXXX my cut and promote healing.,NA,NA,NA
2461,mundify,The old lady said that honey can be used to help [mundify].,The old lady said that honey can be used to help XXXXX.,NA,NA,NA
2462,mundify,The laws against pollution are part of a plan to [mundify] the river.,The laws against pollution are part of a plan to XXXXX the river.,NA,NA,NA
2463,mundify,"Some foods are thought to [mundify] the body, but the evidence is mixed.","Some foods are thought to XXXXX the body, but the evidence is mixed.",NA,NA,NA
2464,mundify,"We tried to [mundify] the room with many different sprays, but it still smelled.","We tried to XXXXX the room with many different sprays, but it still smelled.",NA,NA,NA
2465,mundify,It took many long years before they were completely [mundified].,It took many long years before they were completely XXXXX.,3501,NA,NA
2466,mundify,Everyone was surprised to see how quickly it [mundified].,Everyone was surprised to see how quickly it XXXXX.,NA,NA,NA
2467,mundify,One of her many talents is the ability to [mundify] quickly.,One of her many talents is the ability to XXXXX quickly.,NA,NA,NA
2468,mundify,It simply takes some people longer to [mundify] than others.,It simply takes some people longer to XXXXX than others.,NA,NA,NA
2469,mundify,Some people are better able to [mundify] than others.,Some people are better able to XXXXX than others.,NA,NA,NA
2470,mundify,"I am not a person that [mundifies] quickly, but my brother is.","I am not a person that XXXXX quickly, but my brother is.",NA,NA,NA
2471,nocent,We wear sunglasses to stop [nocent] light from damaging our eyes.,We wear sunglasses to stop XXXXX light from damaging our eyes.,4444,NA,NA
2472,nocent,Ellen hides the [nocent] cleaner so kids wouldn't drink it accidentally.,Ellen hides the XXXXX cleaner so kids wouldn't drink it accidentally.,NA,NA,NA
2473,nocent,Clearing broken glass can be [nocent] if you aren't careful.,Clearing broken glass can be XXXXX if you aren't careful.,NA,NA,NA
2474,nocent,The doctor removed the [nocent] tumor so it wouldn't spread.,The doctor removed the XXXXX tumor so it wouldn't spread.,NA,NA,NA
2475,nocent,Joe had such severe food allergies that peanuts were [nocent] for him to eat.,Joe had such severe food allergies that peanuts were XXXXX for him to eat.,NA,NA,NA
2476,nocent,"We were told the plants were [nocent], so we avoided them.","We were told the plants were XXXXX, so we avoided them.",NA,NA,NA
2477,nocent,Our group talked for a long time about whether the activity was [nocent].,Our group talked for a long time about whether the activity was XXXXX.,289,NA,NA
2478,nocent,Tom often likes to try activities that others think are [nocent].,Tom often likes to try activities that others think are XXXXX.,4435,NA,NA
2479,nocent,I think we were the only ones who heard the [nocent] remarks about the girl.,I think we were the only ones who heard the XXXXX remarks about the girl.,290,NA,NA
2480,nocent,The flower that we picked from her garden was [nocent].,The flower that we picked from her garden was XXXXX.,2979,NA,NA
2481,nocent,We had no idea whether the material was [nocent] or not.,We had no idea whether the material was XXXXX or not.,291,NA,NA
2482,nocent,It is important to label [nocent] things so people always use them correctly.,It is important to label XXXXX things so people always use them correctly.,4495,NA,NA
2483,operose,His muscles are sore from performing so much [operose] work.,His muscles are sore from performing so much XXXXX work.,NA,NA,NA
2484,operose,I look forward to seeing my husband after an [operose] journey across the country.,I look forward to seeing my husband after a(n) XXXXX journey across the country.,NA,NA,NA
2485,operose,The workers complained that their job was too [operose].,The workers complained that their job was too XXXXX.,NA,NA,NA
2486,operose,The workers wanted to leave their [operose] job for something easier.,The workers wanted to leave their XXXXX job for something easier.,NA,NA,NA
2487,operose,The [operose] chores took an entire day to finish and took all our energy.,The XXXXX chores took an entire day to finish and took all our energy.,NA,NA,NA
2488,operose,"As long as it is not too [operose], I think we will be fine.","As long as it is not too XXXXX, I think we will be fine.",NA,NA,NA
2489,operose,Rachel heard that the next step in the project might be [operose].,Rachel heard that the next step in the project might be XXXXX.,NA,NA,NA
2490,operose,David told us he spent all day doing [operose] activities.,David told us he spent all day doing XXXXX activities.,NA,NA,NA
2491,operose,There were people of all ages participating in the [operose] events.,There were people of all ages participating in the XXXXX events.,NA,NA,NA
2492,operose,I think the [operose] one is the one we should choose to do.,I think the XXXXX one is the one we should choose to do.,NA,NA,NA
2493,operose,Ellen enjoys [operose] things more than other people enjoy them.,Ellen enjoys XXXXX things more than other people enjoy them.,NA,NA,NA
2494,operose,The group talked about which one was most [operose].,The group talked about which one was most XXXXX.,NA,NA,NA
2495,oragious,We were surprised by the [oragious] weather since it was nice yesterday.,We were surprised by the XXXXX weather since it was nice yesterday.,NA,NA,NA
2496,oragious,They should have known it would get [oragious] after they heard thunder.,They should have known it would get XXXXX after they heard thunder.,NA,NA,NA
2497,oragious,I like weather that's sunny and clear more than weather that's [oragious].,I like weather that's sunny and clear more than weather that's XXXXX.,NA,NA,NA
2498,oragious,"The clouds looked dark and [oragious], so I thought it would rain.","The clouds looked dark and XXXXX, so I thought it would rain.",NA,NA,NA
2499,oragious,The [oragious] weather frightened the children and they ran indoors.,The XXXXX weather frightened the children and they ran indoors.,NA,NA,NA
2500,oragious,"It was very [oragious] today, so I stayed inside to avoid the weather.","It was very XXXXX today, so I stayed inside to avoid the weather.",NA,NA,NA
2501,oragious,When we left for vacation we were prepared for an [oragious] trip.,When we left for vacation we were prepared for a(n) XXXXX trip.,NA,NA,NA
2502,oragious,We often meet to play basketball inside during [oragious] times.,We often meet to play basketball inside during XXXXX times.,NA,NA,NA
2503,oragious,"I am not sure if it is [oragious] or not, so go ask Bob.","I am not sure if it is XXXXX or not, so go ask Bob.",2254,NA,NA
2504,oragious,"I would like for it to be [oragious] more often, but my brother disagrees.","I would like for it to be XXXXX more often, but my brother disagrees.",NA,NA,NA
2505,oragious,They were discussing whether it was too [oragious] to go or not.,They were discussing whether it was too XXXXX to go or not.,NA,NA,NA
2506,oragious,We did not expect that it would be this [oragious] when we arrived.,We did not expect that it would be this XXXXX when we arrived.,NA,NA,NA
2507,orgulous,The [orgulous] wrestler claimed he could beat anyone in the ring.,The XXXXX wrestler claimed he could beat anyone in the ring.,NA,NA,NA
2508,orgulous,"The boy liked to brag, so people thought he was [orgulous] instead of humble.","The boy liked to brag, so people thought he was XXXXX instead of humble.",NA,NA,NA
2509,orgulous,"Everyone thought the girl was [orgulous], because she always bragged about herself.","Everyone thought the girl was XXXXX, because she always bragged about herself.",NA,NA,NA
2510,orgulous,The [orgulous] coach said his team would easily defeat the other team.,The XXXXX coach said his team would easily defeat the other team.,NA,NA,NA
2511,orgulous,People who are too [orgulous] sometimes offend other people.,People who are too XXXXX sometimes offend other people.,NA,NA,NA
2512,orgulous,She was [orgulous] and insensitive when she showed off all her awards.,She was XXXXX and insensitive when she showed off all her awards.,NA,NA,NA
2513,orgulous,My friend is sharing her desk with an [orgulous] girl this year.,My friend is sharing her desk with a(n) XXXXX girl this year.,1027,NA,NA
2514,orgulous,The [orgulous] girls loved to play soccer during recess.,The XXXXX girls loved to play soccer during recess.,NA,NA,NA
2515,orgulous,We were asked to write down any [orgulous] moments we could recall.,We were asked to write down any XXXXX moments we could recall.,NA,NA,NA
2516,orgulous,It is not unusual to hear John make [orgulous] statements.,It is not unusual to hear John make XXXXX statements.,NA,NA,NA
2517,orgulous,He was more [orgulous] than people were used to.,He was more XXXXX than people were used to.,NA,NA,NA
2518,orgulous,At the meeting the two sides traded [orgulous] comments about their work.,At the meeting the two sides traded XXXXX comments about their work.,NA,NA,NA
2519,pollent,Riley argued that Superman was more [pollent] than Spiderman.,Riley argued that Superman was more XXXXX than Spiderman.,586,NA,NA
2520,pollent,I could not eat the soup because the taste of vinegar was too [pollent].,I could not eat the soup because the taste of vinegar was too XXXXX.,589,NA,NA
2521,pollent,"Even after I bathed, I could still detect the [pollent] smell of cigarettes.","Even after I bathed, I could still detect the XXXXX smell of cigarettes.",587,NA,NA
2522,pollent,"Even though we covered our noses, we could still smell her [pollent] perfume.","Even though we covered our noses, we could still smell her XXXXX perfume.",583,NA,NA
2523,pollent,Jim lifts weights everyday in an effort to become as [pollent] as his big brother.,Jim lifts weights everyday in an effort to become as XXXXX as his big brother.,4500,NA,NA
2524,pollent,It was easy for the [pollent] elephant to lift the girls into the air.,It was easy for the XXXXX elephant to lift the girls into the air.,NA,NA,NA
2525,pollent,"Compared to other people, David's father is not very [pollent].","Compared to other people, David's father is not very XXXXX.",NA,NA,NA
2526,pollent,Everyone tells me that my sister is much more [pollent] than I am.,Everyone tells me that my sister is much more XXXXX than I am.,578,NA,NA
2527,pollent,"I tried many different kinds, and I found that some were more [pollent] than others.","I tried many different kinds, and I found that some were more XXXXX than others.",579,NA,NA
2528,pollent,The judges had to decide which one was most [pollent].,The judges had to decide which one was most XXXXX.,580,NA,NA
2529,pollent,Our class had a contest to see who was the most [pollent].,Our class had a contest to see who was the most XXXXX.,NA,NA,NA
2530,pollent,"I think Richard is more [pollent] than Ben, but Alice disagrees.","I think Richard is more XXXXX than Ben, but Alice disagrees.",581,NA,NA
2531,priscan,"Scientists knew the mummies were [priscan], but they wanted an exact age.","Scientists knew the mummies were XXXXX, but they wanted an exact age.",NA,NA,NA
2532,priscan,Layers of dust had collected on the walls of the [priscan] building.,Layers of dust had collected on the walls of the XXXXX building.,NA,NA,NA
2533,priscan,The [priscan] palace was in very bad shape and had to be repaired.,The XXXXX palace was in very bad shape and had to be repaired.,NA,NA,NA
2534,priscan,The tower is [priscan] and it is still an important landmark.,The tower is XXXXX and it is still an important landmark.,NA,NA,NA
2535,priscan,Cara studied the [priscan] vase for clues about how to the tribe lived.,Cara studied the XXXXX vase for clues about how to the tribe lived.,NA,NA,NA
2536,priscan,Scientists used new methods to uncover [priscan] cave markings.,Scientists used new methods to uncover XXXXX cave markings.,NA,NA,NA
2537,priscan,Many new houses are being built in the center of the [priscan] village.,Many new houses are being built in the center of the XXXXX village.,NA,NA,NA
2538,priscan,"Emily likes to buy things that are [priscan], but I do not.","Emily likes to buy things that are XXXXX, but I do not.",NA,NA,NA
2539,priscan,I think the reason they did not choose that one is because it is [priscan].,I think the reason they did not choose that one is because it is XXXXX.,NA,NA,NA
2540,priscan,Brenda liked to show off her [priscan] belongings to her friends.,Brenda liked to show off her XXXXX belongings to her friends.,NA,NA,NA
2541,priscan,I think the [priscan] one will work best in this situation.,I think the XXXXX one will work best in this situation.,NA,NA,NA
2542,priscan,Ask Liz to lend you the [priscan] one from the top shelf.,Ask Liz to lend you the XXXXX one from the top shelf.,NA,NA,NA
2543,proditor,"Becky became friends with our enemy, so now we think she's a [proditor].","Becky became friends with our enemy, so now we think she's a(n) XXXXX.",552,NA,NA
2544,proditor,She is a [proditor] because she sold my secrets to my enemy.,She is a(n) XXXXX because she sold my secrets to my enemy.,NA,NA,NA
2545,proditor,The [proditor] was caught selling secrets to the enemy.,The XXXXX was caught selling secrets to the enemy.,4551,NA,NA
2546,proditor,He was known as a [proditor] after he betrayed everyone's trust.,He was known as a(n) XXXXX after he betrayed everyone's trust.,NA,NA,NA
2547,proditor,The man was called a [proditor] for betraying his country.,The man was called a(n) XXXXX for betraying his country.,NA,NA,NA
2548,proditor,We never trusted him because he was a [proditor] and often betrayed his friends.,We never trusted him because he was a(n) XXXXX and often betrayed his friends.,557,NA,NA
2549,proditor,Bill said that the man down the street is actually a [proditor].,Bill said that the man down the street is actually a(n) XXXXX.,541,NA,NA
2550,proditor,The [proditor] moved away to another country and got a new job.,The XXXXX moved away to another country and got a new job.,NA,NA,NA
2551,proditor,I have heard that there are plenty of [proditors] in the inner city.,I have heard that there are plenty of XXXXX in the inner city.,1115,NA,NA
2552,proditor,One of my friends from high school has become a [proditor].,One of my friends from high school has become a(n) XXXXX.,544,NA,NA
2553,proditor,Morgan did not like Bob because she thought he was a [proditor].,Morgan did not like Bob because she thought he was a(n) XXXXX.,NA,NA,NA
2554,proditor,She did not understand why there were so many [proditors] in the city.,She did not understand why there were so many XXXXX in the city.,4531,NA,NA
2555,purloin,The burglar was caught by police while trying to [purloin] the jewelry.,The burglar was caught by police while trying to XXXXX the jewelry.,463,NA,NA
2556,purloin,Someone broke into our house and [purloined] all our valuables.,Someone broke into our house and XXXXX all our valuables.,464,NA,NA
2557,purloin,The child was punished for trying to [purloin] candy from the store.,The child was punished for trying to XXXXX candy from the store.,465,NA,NA
2558,purloin,The thief went to jail for [purloining] money from tourists.,The thief went to jail for XXXXX money from tourists.,466,NA,NA
2559,purloin,The woman was arrested after she [purloined] some shoes.,The woman was arrested after she XXXXX some shoes.,467,NA,NA
2560,purloin,"He swore he didn't [purloin] the purse, but he was arrested anyway.","He swore he didn't XXXXX the purse, but he was arrested anyway.",NA,NA,NA
2561,purloin,She told her friend that she used to [purloin] things when she was a kid.,She told her friend that she used to XXXXX things when she was a kid.,451,NA,NA
2562,purloin,The man [purloined] the paperwork from the office before he left.,The man XXXXX the paperwork from the office before he left.,452,NA,NA
2563,purloin,They thought that it might have been [purloined] sometime last week.,They thought that it might have been XXXXX sometime last week.,453,NA,NA
2564,purloin,Bob did not think it would be necessary to [purloin] the item.,Bob did not think it would be necessary to XXXXX the item.,457,NA,NA
2565,purloin,The two siblings planned to [purloin] the candy the next day.,The two siblings planned to XXXXX the candy the next day.,4573,NA,NA
2566,purloin,The cat was not [purloined] until late in the afternoon.,The cat was not XXXXX until late in the afternoon.,4412,NA,NA
2567,repine,Rory [repined] and complained that he didn't like what was for dinner.,Rory XXXXX and complained that he didn't like what was for dinner.,NA,NA,NA
2568,repine,The students [repined] that there was too much homework.,The students XXXXX that there was too much homework.,NA,NA,NA
2569,repine,The little girl [repined] because she hated wearing dresses.,The little girl XXXXX because she hated wearing dresses.,NA,NA,NA
2570,repine,The kids [repined] loudly when they were told to clean up.,The kids XXXXX loudly when they were told to clean up.,NA,NA,NA
2571,repine,The dog [repined] loudly at the door until we let him out.,The dog XXXXX loudly at the door until we let him out.,4425,NA,NA
2572,repine,People often [repine] when they don't get what they want.,People often XXXXX when they don't get what they want.,NA,NA,NA
2573,repine,"During my sister's visit last month, she [repined] more than anyone else.","During my sister's visit last month, she XXXXX more than anyone else.",1103,NA,NA
2574,repine,"I know many people that [repine], but Leslie is not one of them.","I know many people that XXXXX, but Leslie is not one of them.",NA,NA,NA
2575,repine,Dana had a reputation for [repining] among her friends.,Dana had a reputation for XXXXX among her friends.,425,NA,NA
2576,repine,The students got together and [repined] after school was over.,The students got together and XXXXX after school was over.,NA,NA,NA
2577,repine,Katie and I [repined] at our friend's house all night and then went home.,Katie and I XXXXX at our friend's house all night and then went home.,4508,NA,NA
2578,repine,Kevin's mom says he [repined] more often than his older sister.,Kevin's mom says he XXXXX more often than his older sister.,415,NA,NA
2579,roodge,The weight lifter was able to [roodge] a hundred pounds.,The weight lifter was able to XXXXX a hundred pounds.,NA,NA,NA
2580,roodge,Only a superhero could [roodge] a car above his head.,Only a superhero could XXXXX a car above his head.,NA,NA,NA
2581,roodge,I could [roodge] heavier objects after working out for several months.,I could XXXXX heavier objects after working out for several months.,NA,NA,NA
2582,roodge,The trainer at the gym taught me how to [roodge] the weights.,The trainer at the gym taught me how to XXXXX the weights.,NA,NA,NA
2583,roodge,"Though she tried hard, she couldn't [roodge] the heavy box.","Though she tried hard, she couldn't XXXXX the heavy box.",NA,NA,NA
2584,roodge,The men had to get out and [roodge] the car onto the sidewalk.,The men had to get out and XXXXX the car onto the sidewalk.,NA,NA,NA
2585,roodge,The only possible way it will work is if we [roodge] it.,The only possible way it will work is if we XXXXX it.,NA,NA,NA
2586,roodge,My brother is able to [roodge] more things than I can.,My brother is able to XXXXX more things than I can.,NA,NA,NA
2587,roodge,"Ned is often asked to [roodge] things for his brother, and he usually agrees.","Ned is often asked to XXXXX things for his brother, and he usually agrees.",NA,NA,NA
2588,roodge,It was impossible to [roodge] even though we tried all afternoon.,It was impossible to XXXXX even though we tried all afternoon.,NA,NA,NA
2589,roodge,We sat and watched while the girl was [roodged] by them.,We sat and watched while the girl was XXXXX by them.,NA,NA,NA
2590,roodge,The boys were eventually able to [roodge] all the objects.,The boys were eventually able to XXXXX all the objects.,NA,NA,NA
2591,strepor,We covered our ears to block the loud [strepor] from the crowd.,We covered our ears to block the loud XXXXX from the crowd.,121,NA,NA
2592,strepor,She couldn't sleep because of the [strepor] upstairs.,She couldn't sleep because of the XXXXX upstairs.,122,NA,NA
2593,strepor,The jackhammer causes more [strepor] than any other tool.,The jackhammer causes more XXXXX than any other tool.,1090,NA,NA
2594,strepor,A library should be free from [strepor] so people can read.,A library should be free from XXXXX so people can read.,124,NA,NA
2595,strepor,"The [strepor] caused by the traffic was loud, so I shut the window.","The XXXXX caused by the traffic was loud, so I shut the window.",NA,NA,NA
2596,strepor,There was a lot of [strepor] and all the dogs were barking through the night.,There was a lot of XXXXX and all the dogs were barking through the night.,NA,NA,NA
2597,strepor,The group did not choose that one because of all the [strepor].,The group did not choose that one because of all the XXXXX.,109,NA,NA
2598,strepor,There can be a lot of [strepor] during certain times of the year.,There can be a lot of XXXXX during certain times of the year.,NA,NA,NA
2599,strepor,I went looking for a place to sit without any [strepor].,I went looking for a place to sit without any XXXXX.,NA,NA,NA
2600,strepor,Some people are more sensitive to [strepor] than other people.,Some people are more sensitive to XXXXX than other people.,110,NA,NA
2601,strepor,[Strepor] is sometimes greater in our house in the morning.,XXXXX is sometimes greater in our house in the morning.,NA,NA,NA
2602,strepor,We thought the [strepor] of the drums got softer as we walked away.,We thought the XXXXX of the drums got softer as we walked away.,4591,NA,NA
2603,susurrus,The children were warned not to talk above a [susurrus] in church.,The children were warned not to talk above a(n) XXXXX in church.,4256,NA,NA
2604,susurrus,The librarian had sensitive ears and could hear every [susurrus] the children made.,The librarian had sensitive ears and could hear every XXXXX the children made.,NA,NA,NA
2605,susurrus,The campers had to speak in a [susurrus] when others were asleep.,The campers had to speak in a(n) XXXXX when others were asleep.,NA,NA,NA
2606,susurrus,The pranksters had to keep their voices to a [susurrus] to avoid getting caught.,The pranksters had to keep their voices to a(n) XXXXX to avoid getting caught.,NA,NA,NA
2607,susurrus,She could hear the quiet [susurrus] of actors behind the curtain as the play started.,She could hear the quiet XXXXX of actors behind the curtain as the play started.,NA,NA,NA
2608,susurrus,Brenda liked the soft [susurrus] of the wind blowing through the trees.,Brenda liked the soft XXXXX of the wind blowing through the trees.,NA,NA,NA
2609,susurrus,It was hard to understand the [susurrus] though we tried our best.,It was hard to understand the XXXXX though we tried our best.,NA,NA,NA
2610,susurrus,They were able to find the children because of their [susurrus].,They were able to find the children because of their XXXXX.,NA,NA,NA
2611,susurrus,We thought we heard [susurrus] outside the window late last night.,We thought we heard XXXXX outside the window late last night.,NA,NA,NA
2612,susurrus,We could barely make out the [susurrus] of the little children.,We could barely make out the XXXXX of the little children.,NA,NA,NA
2613,susurrus,"Whenever I hear [susurrus], I think people are talking about me.","Whenever I hear XXXXX, I think people are talking about me.",NA,NA,NA
2614,susurrus,When I'm irritable even the [susurrus] of other people annoys me.,When I'm irritable even the XXXXX of other people annoys me.,NA,NA,NA
2615,swink,The gardener [swinked] long hours to make the garden beautiful.,The gardener XXXXX long hours to make the garden beautiful.,1057,NA,NA
2616,swink,Farmers are known for how hard they [swink] every day.,Farmers are known for how hard they XXXXX every day.,1058,NA,NA
2617,swink,The students [swinked] long hours to finish their report on time.,The students XXXXX long hours to finish their report on time.,1059,NA,NA
2618,swink,It takes years of [swinking] to become an expert at the violin.,It takes years of XXXXX to become an expert at the violin.,NA,NA,NA
2619,swink,He was sweaty and tired after [swinking] all day in the factory.,He was sweaty and tired after XXXXX all day in the factory.,1060,NA,NA
2620,swink,She had to [swink] many hours at the restaurant to earn enough money.,She had to XXXXX many hours at the restaurant to earn enough money.,1061,NA,NA
2621,swink,"When the people all decide to [swink], then things will start to change.","When the people all decide to XXXXX, then things will start to change.",1055,NA,NA
2622,swink,Bob typically [swinked] the hardest out of all of his friends.,Bob typically XXXXX the hardest out of all of his friends.,1056,NA,NA
2623,swink,I tried it out even though I do not like to [swink].,I tried it out even though I do not like to XXXXX.,1045,NA,NA
2624,swink,You can [swink] for a long time if you have to.,You can XXXXX for a long time if you have to.,1046,NA,NA
2625,swink,Today people don't have to [swink] as hard as they used to.,Today people don't have to XXXXX as hard as they used to.,1062,NA,NA
2626,swink,It had been a long time since John had to [swink].,It had been a long time since John had to XXXXX.,1047,NA,NA
2627,thrasonic,Ned was very [thrasonic] and claimed he was smarter than everyone.,Ned was very XXXXX and claimed he was smarter than everyone.,NA,NA,NA
2628,thrasonic,"She was punished for being [thrasonic], instead of humble.","She was punished for being XXXXX, instead of humble.",NA,NA,NA
2629,thrasonic,Kelly is so [thrasonic] that she will only talk about her good qualities.,Kelly is so XXXXX that she will only talk about her good qualities.,NA,NA,NA
2630,thrasonic,My [thrasonic] friend teased me when he got a better grade.,My XXXXX friend teased me when he got a better grade.,NA,NA,NA
2631,thrasonic,Maybe Bob acts [thrasonic] because he is worried and unsure of himself.,Maybe Bob acts XXXXX because he is worried and unsure of himself.,NA,NA,NA
2632,thrasonic,"She was very good, but she was never [thrasonic] about her skills.","She was very good, but she was never XXXXX about her skills.",NA,NA,NA
2633,thrasonic,Tom is known for being as [thrasonic] as his father was at his age.,Tom is known for being as XXXXX as his father was at his age.,NA,NA,NA
2634,thrasonic,She was thought by many of her friends to be [thrasonic].,She was thought by many of her friends to be XXXXX.,NA,NA,NA
